Pedido
corral,combo corral,piña,gaseosa
corral,corral queso,papas en casco grandes,combo corral queso,piña,gaseosa
corral,combo corral,piña,gaseosa
corral,combo corral,piña,gaseosa
corral,combo corral,piña,gaseosa
corral,combo corral,piña,gaseosa
corral,combo corral,piña,gaseosa
corral,combo corral,piña,gaseosa
corralita,combo todoterreno,piña,agua cristal sin gas,agua cristal con gas,gaseosa
corral,combo corral,lechuga,agua cristal sin gas,agua cristal con gas,gaseosa
corral,combo corral queso,lechuga,agua cristal sin gas,agua cristal con gas,gaseosa
